the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE
POINT (-73.92355090156951 40.837960016855035),High Bridge,West 168th Street,78,Bronx,10452,http://www.nypl.org/locations/high-bridge,"2,003,163",2025100027,"1,005,404","244,578",NYPL,2
POINT (-74.00533101445356 40.72998291458653),Hudson Park,Leroy Street,66,New York,10014,http://www.nypl.org/locations/hudson-park,"1,009,760",1005820018,"982,772.476696","205,229.072859",NYPL,1
POINT (-74.19322900650182 40.534078493080344),Huguenot Park,Huguenot Avenue,830,Staten Island,10312,http://www.nypl.org/locations/huguenot-park,"5,083,401",5068170001,"930,538","133,915",NYPL,5
POINT (-73.89413216580388 40.818670087188615),Hunts Point,Southern Boulevard,877,Bronx,10459,http://www.nypl.org/locations/hunts-point,"2,005,755",2027220063,"1,013,552.86041","237,558.447998",NYPL,2
POINT (-73.92586290917251 40.865748720737024),Inwood,Broadway,4790,New York,10034,http://www.nypl.org/locations/inwood,"1,064,894",1022330013,"1,004,755.68262","254,701.930603",NYPL,1
POINT (-73.99916928513315 40.73463470830847),Jefferson Market,Avenue of the Americas,425,New York,10011,http://www.nypl.org/locations/jefferson-market,"1,082,668",1006060001,"984,480.221619","206,923.823242",NYPL,1
POINT (-73.90119235962918 40.86906986689302),Jerome Park,Eames Place,118,Bronx,10468,http://www.nypl.org/locations/jerome-park,"2,015,263",2032480070,"1,011,577.97742","255,918.689392",NYPL,2
POINT (-73.90770595199646 40.88069989038004),Kingsbridge,West 231st Street,291,Bronx,10463,http://www.nypl.org/locations/kingsbridge,"2,119,474",2057130123,"1,009,772","260,154",NYPL,2
POINT (-73.97990195853163 40.74380962013242),Kips Bay,Third Avenue,446,New York,10016,http://www.nypl.org/locations/kips-bay,"1,018,325",1008860051,"989,819.139587","210,267.171631",NYPL,1
POINT (-73.93586246250698 40.82653201339423),Macomb's Bridge,Adam Clayton Powell Jr. Boulevard,2650,New York,10039,http://www.nypl.org/locations/macombs-bridge,"1,084,156",1020370011,"1,002,000.35413","240,411.62427",NYPL,1
POINT (-74.16658190502365 40.63469343184469),Mariners Harbor,South Ave,206,Staten Island,10303,http://www.nypl.org/locations/mariners-harbor,"5,109,138",5012660064,"938,014.8125","170,556.270833",NYPL,5
POINT (-73.91758393603561 40.826584558970666),Melrose,Morris Avenue,910,Bronx,10451,http://www.nypl.org/locations/melrose,"2,001,950",2024220001,"1,007,059","240,435",NYPL,2
POINT (-73.98169851078917 40.75189156171031),Mid-Manhattan,Fifth Avenue,455,New York,10016,http://www.nypl.org/locations/mid-manhattan-library,"1,017,602",1008690074,"989,320.702117","213,211.573299",NYPL,1
POINT (-73.96477561597041 40.80613025800837),Morningside Heights,Broadway,2900,New York,10025,http://www.nypl.org/locations/morningside-heights,"1,057,018",1018857501,"994,001.497437","232,973.994019",NYPL,1
POINT (-73.85695785375374 40.84802911005552),Morris Park,Morris Park Avenue,985,Bronx,10462,http://www.nypl.org/locations/morris-park,"2,045,398",2041260040,"1,023,824.75876","248,269.629823",NYPL,2
POINT (-73.90179407206183 40.83126291201479),Morrisania,East 169th Street,610,Bronx,10456,http://www.nypl.org/locations/morrisania,"2,004,303",2026150023,"1,011,427","242,144",NYPL,2
POINT (-73.87838435032448 40.87437981398938),Mosholu,East 205th Street,285,Bronx,10467,http://www.nypl.org/locations/mosholu,"2,018,123",2033410076,"1,017,883.47176","257,861.247122",NYPL,2
POINT (-73.92438195200242 40.81158963775246),Mott Haven,East 140th Street,321,Bronx,10454,http://www.nypl.org/locations/mott-haven,"2,000,744",2023150018,"1,005,182.33643","234,970.114197",NYPL,2
POINT (-73.9959685690698 40.74448733065495),Muhlenberg,West 23rd Street,209,New York,10011,http://www.nypl.org/locations/muhlenberg,"1,014,150",1007730038,"985,367.092407","210,513.470032",NYPL,1
POINT (-73.99568416859454 40.72413926605543),Mulberry Street,Jersey Street,10,New York,10012,http://www.nypl.org/locations/mulberry-street,"1,007,931",1005107501,"985,446.264038","203,100.03479",NYPL,1
POINT (-74.00786921340098 40.71357685109021),New Amsterdam,Murray Street,9,New York,10007,http://www.nypl.org/locations/new-amsterdam,"1,001,446",1001347503,"982,068.462402","199,251.891785",NYPL,1
POINT (-74.11195814748115 40.57193184836513),New Dorp,New Dorp Lane,309,Staten Island,10306,http://www.nypl.org/locations/new-dorp,"5,052,750",5036430005,"953,146.526106","147,666.523943",NYPL,5
POINT (-73.98454684522841 40.7735069911927),"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center",Lincoln Center Plaza,40,New York,10023,http://www.nypl.org/locations/lpa,"1,028,832",1011340025,"988,530.139066","221,086.633008",NYPL,1
POINT (-73.98774284104663 40.72890664078863),Ottendorfer,Second Avenue,135,New York,10003,http://www.nypl.org/locations/ottendorfer,"1,079,841",1004640039,"987,647.201599","204,837.145386",NYPL,1
POINT (-73.85835004816082 40.83378098529545),Parkchester,Westchester Avenue,1985,Bronx,10462,http://www.nypl.org/locations/parkchester,"2,028,890",2039300059,"1,023,447.98199","243,077.88562",NYPL,2
POINT (-73.82790017237492 40.844317529931516),Pelham Bay,Middletown Road,3060,Bronx,10461,http://www.nypl.org/locations/pelham-bay,"2,074,963",2054040002,"1,031,866.65021","246,931.824829",NYPL,2
POINT (-73.8641466616336 40.85487588027384),Pelham Parkway-Van Nest,Barnes Avenue,2147,Bronx,10462,http://www.nypl.org/locations/pelham-parkway-van-nest,"2,049,427",2043210070,"1,021,832","250,761",NYPL,2
POINT (-74.13110461508398 40.63758561600359),Port Richmond,Bennett Street,75,Staten Island,10302,http://www.nypl.org/locations/port-richmond,"5,023,763",5010070026,"947,863.183982","171,593.238884",NYPL,5
POINT (-74.13853387646311 40.566530146210184),Richmondtown,Clarke Avenue,200,Staten Island,10306,http://www.nypl.org/locations/richmondtown,"5,060,744",5044700001,"945,760.325655","145,709.109879",NYPL,5
POINT (-73.90277254280693 40.90372277707978),Riverdale,Mosholu Avenue,5540,Bronx,10471,http://www.nypl.org/locations/riverdale,"2,084,790",2058481729,"1,011,126.92097","268,543.647017",NYPL,2
POINT (-73.98451216196563 40.77423207861022),Riverside,Amsterdam Avenue,127,New York,10023,http://www.nypl.org/locations/riverside,"1,077,844",1011377501,"988,539.698792","221,350.808228",NYPL,1
POINT (-73.95020567413508 40.76123275727826),Roosevelt Island,Main Street,524,New York,10044,http://www.nypl.org/locations/roosevelt-island,"1,084,695",1013730030,"998,044.32959","216,618.265808",NYPL,1
POINT (-73.94094393837611 40.81464862404033),Schomburg Center for Research in Black Culture,Malcolm X Boulevard,515,New York,10037,http://www.nypl.org/locations/schomburg,"1,058,276",1019200029,"1,000,596.95203","236,081.087585",NYPL,1
POINT (-73.98300921762814 40.74811515837409),"Science, Industry and Business Library (SIBL)",Madison Avenue,188,New York,10016,http://www.nypl.org/locations/sibl,"1,087,934",1008647502,"988,957.81814","211,835.634661",NYPL,1
POINT (-73.9174950173068 40.849444506294475),Sedgwick,Martin Luther King Jr. Boulevard,1701,Bronx,10453,http://www.nypl.org/locations/sedgwick,"2,100,281",2028780224,"1,007,075.76389","248,763.75",NYPL,2
POINT (-73.98850101814436 40.71440955033492),Seward Park,East Broadway,192,New York,10002,http://www.nypl.org/locations/seward-park,"1,004,053",1003110031,"987,437.757996","199,555.380798",NYPL,1
POINT (-73.86288995608042 40.818709352248625),Soundview,Soundview Avenue,660,Bronx,10473,http://www.nypl.org/locations/soundview,"2,021,838",2035580014,"1,022,200.27514","237,584.746993",NYPL,2
POINT (-74.06298045409709 40.59580257046463),South Beach,Robin Road,21-25,Staten Island,10305,http://www.nypl.org/locations/south-beach,"5,129,317",5031210001,"966,759.435242","156,349.637207",NYPL,5
POINT (-73.9146501854584 40.88628523559925),Spuyten Duyvil,West 235th Street,650,Bronx,10463,http://www.nypl.org/locations/spuyten-duyvil,"2,085,867",2059150070,"1,007,849.73462","262,187.017822",NYPL,2
POINT (-73.97745211592564 40.784834636708375),St. Agnes,Amsterdam Avenue,444,New York,10024,http://www.nypl.org/locations/st-agnes,"1,032,683",1012290031,"990,494.140059","225,214.103099",NYPL,1
POINT (-74.07667836343802 40.64179934831384),St. George Library Center,Central Avenue,5,Staten Island,10301,http://www.nypl.org/locations/st-george-library-center,"5,000,030",5000050074,"962,970.001587","173,110.499817",NYPL,5
